school,sex,age,studytime,failures,health,absences
GP,M,17,2,0,1,2
GP,F,17,2,0,1,2
GP,F,17,2,0,5,6
GP,F,18,2,0,5,75
GP,M,18,1,0,3,22
GP,F,18,2,1,4,15
GP,M,18,1,0,1,8
GP,M,17,1,0,5,30
GP,M,17,1,1,3,19
GP,F,18,4,0,3,1
GP,F,18,2,0,4,4
GP,F,17,2,0,5,4
GP,M,17,2,0,4,2
GP,F,18,3,0,2,5
GP,F,17,3,0,3,6
GP,M,18,3,0,2,6
GP,M,18,2,0,2,9
GP,M,18,2,0,5,11
GP,F,17,3,0,3,0
GP,F,18,2,1,5,12
GP,F,17,4,0,3,6
GP,M,18,3,0,4,8
GP,M,17,1,0,5,4
GP,F,19,2,0,2,0
GP,F,18,2,0,2,10
GP,F,18,4,0,3,0
GP,M,18,1,0,1,5
GP,F,18,2,0,4,14
GP,M,17,1,0,5,0
GP,F,17,3,0,3,0
GP,F,17,4,0,5,0
GP,M,19,2,1,3,20
GP,F,18,2,1,3,8
GP,M,20,1,0,5,0
GP,M,19,1,1,4,38
GP,M,19,2,1,5,0
GP,F,19,2,1,3,18
GP,F,19,2,1,3,0
GP,F,19,2,0,2,20
GP,M,19,2,1,4,3
GP,F,19,2,1,1,22
GP,F,19,3,2,3,14
GP,F,19,3,1,3,40
GP,F,18,2,0,1,0
GP,F,18,3,0,5,9
GP,F,17,3,0,5,0
GP,F,18,2,0,5,2
GP,F,17,2,0,5,23
GP,F,17,2,0,3,12
GP,F,17,3,0,3,3
GP,F,17,3,0,5,1
GP,F,17,3,0,2,0
GP,M,18,3,0,3,3
GP,M,17,1,0,5,3
GP,M,17,1,0,4,8
GP,F,17,3,0,4,7
GP,F,17,3,0,4,4
GP,M,18,4,0,5,2
GP,F,17,3,0,5,7
GP,F,18,2,0,4,0
GP,F,18,2,0,2,0
GP,F,18,4,0,4,0
GP,F,17,3,0,5,16
GP,F,19,3,1,5,12
GP,F,17,2,0,2,0
GP,F,18,4,0,1,7
GP,F,17,2,0,2,4
GP,F,19,3,1,3,4
GP,M,18,2,1,2,0
GP,M,18,2,0,5,11
GP,F,17,2,1,4,0
GP,F,18,3,0,3,4
GP,F,18,3,0,1,7
GP,M,18,3,0,4,9
GP,M,18,3,0,5,0
GP,F,17,3,0,4,0
MS,M,18,1,1,5,10
MS,M,19,2,3,2,8
MS,M,17,2,0,3,2
MS,M,18,1,1,3,7
MS,M,19,1,1,5,4
MS,M,17,2,0,2,4
MS,F,18,2,0,5,0
MS,F,17,2,0,5,4
MS,F,17,2,0,5,2
MS,M,18,1,0,3,4
MS,F,18,3,0,4,0
MS,F,18,2,0,5,0
MS,M,18,2,1,5,2
MS,F,18,2,0,3,0
MS,F,17,2,0,1,0
MS,F,17,2,0,3,0
MS,M,18,2,0,3,4
MS,M,18,3,0,5,0
MS,F,17,1,1,1,0
MS,F,18,1,0,4,0
MS,F,18,2,0,5,10
MS,F,19,2,2,3,4
MS,M,18,1,0,3,3
MS,F,17,3,0,3,8
MS,F,17,1,0,1,14
MS,F,18,3,0,1,0
MS,F,18,3,0,4,2
MS,F,20,3,2,3,4
MS,F,18,2,0,2,4
MS,F,18,2,0,1,0
MS,F,17,2,0,1,17
MS,M,18,2,0,2,4
MS,M,18,1,0,5,5
MS,M,17,2,0,3,2
MS,M,19,1,1,5,0
MS,M,18,1,1,3,14
MS,F,18,3,0,4,2
MS,F,18,1,0,5,7
MS,F,19,3,1,5,0
MS,F,18,2,0,1,0
MS,F,18,2,1,5,0
MS,M,20,2,2,4,11
MS,M,17,1,0,2,3
MS,M,21,1,3,3,3
MS,M,18,1,0,5,0
MS,M,19,1,0,5,5
